description,doc1_quantity,doc1_cost,unit,doc2_quantity,doc2_cost,quantity_difference,cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,duration_type,percentage_cost_difference,significant_difference,price_category
R&R Board-up windows and doors,615.46,3080.56,SF,,,,,0,WINDOWS,square_feet,False,False,,,False,High
Install Board-up windows and doors,512.88,1040.13,SF,,,,,0,WINDOWS,square_feet,False,False,,,False,High
Temporary fencing - 9+ months (per month),1080.0,777.6,LF,120.0,122.4,960.0,655.2,94,TEMPORARY ITEMS,linear_feet,True,False,per month,84.26,True,High
Residential Supervision / Project Management - per hour,240.0,23474.88,HR,240.0,26951.04,0.0,-3476.16,100,SUPERVISION & MANAGEMENT,hours,False,True,,-14.81,True,High
"Dumpster load - Approx. 20 yards, 4 tons of debris",1.0,1071.6,EA,2.0,3061.58,-1.0,-1989.98,94,DUMPSTER & DEBRIS,each,False,False,,-185.7,True,High
Gas/water line cap/plug - per cap,21.0,594.81,EA,,,,,0,PLUMBING,each,False,False,,,False,Medium-High
Plumbing/gas line air pressure test,2.0,681.48,EA,1.0,344.48,1.0,337.0,100,PLUMBING,each,False,False,,49.45,True,High
Plumbing/drain line water pressure test,1.0,809.24,EA,1.0,818.08,0.0,-8.840000000000032,100,PLUMBING,each,False,False,,-1.09,False,High
Scaffolding Setup & Take down - per hour,32.0,2492.92,HR,,,,,0,SCAFFOLDING,hours,False,True,,,False,High
Scaffold - per section (per month),30.0,4063.68,MO,94.5,12800.6,-64.5,-8736.92,100,SCAFFOLDING,months,False,False,per month,-215.0,True,High
Temporary hand washing station (per month),8.0,2323.58,MO,8.0,2323.58,0.0,0.0,100,CLEANING,months,True,False,per month,0.0,False,High
Temporary toilet (per month),8.0,2380.8,MO,8.0,2380.8,0.0,0.0,100,PLUMBING,months,True,False,per month,0.0,False,High
Temporary power usage (per month),8.0,2574.02,MO,8.0,2612.7,0.0,-38.679999999999836,100,TEMPORARY ITEMS,months,True,False,per month,-1.5,False,High
R&R Temporary power - hookup,1.0,565.03,EA,1.0,454.58,0.0,110.44999999999999,92,TEMPORARY ITEMS,each,True,False,,19.55,True,Medium-High
Job-site cargo/storage container - 16' long - per month,4.0,358.11,MO,,,,,0,CABINETRY,months,False,False,,,False,Medium-High
Final cleaning - construction - Residential,2100.76,1058.78,SF,2185.11,1127.52,-84.34999999999991,-68.74000000000001,100,CLEANING,square_feet,False,False,,-6.49,True,High
Building Permit - B23-1181 (Demo)*,1.0,306.39,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,Medium-High
Building Permit - B23-2090*,1.0,5320.47,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
Building Permit - B24-0511*,1.0,1991.51,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
Engineering fees*,1.0,3186.84,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
"Dumpster load - Approx. 40 yards, 7-8 tons of debris",2.0,3061.58,EA,2.0,3061.58,0.0,0.0,100,DUMPSTER & DEBRIS,each,False,False,,0.0,False,High
Hazardous Waste/Mold Cleaning- Supervisory/Admin- per hour,12.0,1739.52,HR,12.0,1774.8,0.0,-35.27999999999997,98,CLEANING,hours,False,True,,-2.03,False,High
Hazardous Waste/Mold Cleaning Technician - per hour,24.0,3135.74,HR,24.0,3182.4,0.0,-46.66000000000031,100,CLEANING,hours,False,True,,-1.49,False,High
Add for personal protective equipment - Heavy duty,60.0,3081.3,EA,,,,,0,TOOLS,each,False,False,,,False,High
Hydroxyl generator - odor counteractant - 3 optics,2.0,571.2,DA,2.0,571.2,0.0,0.0,100,CABINETRY,days,False,False,,0.0,False,Medium-High
"R&R Sheathing - plywood - 1/2"" CDX",64.0,379.0,SF,64.0,366.59,0.0,12.410000000000025,100,FLOOR COVERING,square_feet,False,False,,3.27,False,Medium-High
Roofing felt - 30 lb.,1.0,72.49,SQ,0.64,46.89,0.36,25.599999999999994,100,ROOFING,square,False,False,,35.32,True,Low
Tile roofing - Detach & reset,1.5,2293.21,SQ,,,,,0,FLOOR COVERING,square,False,False,,,False,High
Bird stop - Eave closure strip for tile roofing - clay,8.0,60.11,LF,,,,,0,FLOOR COVERING,linear_feet,False,False,,,False,Low
Clean air conditioning condenser unit,1.0,129.0,EA,,,,,0,CLEANING,each,False,False,,,False,Medium-Low
Digital satellite system - Detach & reset,1.0,72.25,EA,,,,,0,HVAC,each,False,False,,,False,Low
Clean fascia,310.26,420.71,LF,,,,,0,ROOFING,linear_feet,False,False,,,False,Medium-High
Clean soffit - wood,357.71,262.19,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Clean with pressure/chemical spray,2813.8,1724.78,SF,,,,,0,CLEANING,square_feet,False,False,,,False,High
"R&R Siding - hardboard - lap pattern - 8""",928.8,7281.15,SF,,,,,0,SIDING,square_feet,False,False,,,False,High
R&R House wrap (air/moisture barrier),928.8,584.72,SF,622.5,394.08,306.29999999999995,190.64000000000004,100,HVAC,square_feet,False,False,,32.6,True,Medium-High
