description,doc1_quantity,doc1_cost,unit,doc1_occurrences,doc2_quantity,doc2_cost,doc2_occurrences,quantity_difference,cost_difference,percentage_cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,significant_difference
Scaffold - per section (per month),29.0,3928.22,MO,"{'total_quantity': 29.0, 'total_rcv': 3928.22, 'occurrences_detail': ['Line 1: Qty=29.0, RCV=$3928.22']}",24.0,3250.94,"{'total_quantity': 24.0, 'total_rcv': 3250.94, 'occurrences_detail': ['Line 424: Qty=24.0, RCV=$3250.94']}",5.0,677.2799999999997,17.24139686677426,100,SCAFFOLDING,months,False,False,True
Labor to set up and take down scaffold -,29.0,1327.63,EA,"{'total_quantity': 29.0, 'total_rcv': 1327.63, 'occurrences_detail': ['Line 2: Qty=29.0, RCV=$1327.63']}",,,,,,,0,SCAFFOLDING,each,False,True,False
Two ladders with jacks and plank (per,2.0,279.92,DA,"{'total_quantity': 2.0, 'total_rcv': 279.92, 'occurrences_detail': ['Line 3: Qty=2.0, RCV=$279.92']}",2.0,279.92,"{'total_quantity': 2.0, 'total_rcv': 279.92, 'occurrences_detail': ['Line 426: Qty=2.0, RCV=$279.92']}",0.0,0.0,0.0,100,STAIRS,days,False,False,False
R&R House wrap (air/moisture barrier),16.0,7.87,SF,"{'total_quantity': 16.0, 'total_rcv': 7.87, 'occurrences_detail': ['Line 4: Qty=16.0, RCV=$7.87']}",,,,,,,0,HVAC,square_feet,False,False,False
"R&R Fiber cement lap siding - 8""",16.0,115.96,SF,"{'total_quantity': 16.0, 'total_rcv': 115.96, 'occurrences_detail': ['Line 5: Qty=16.0, RCV=$115.96']}",,,,,,,0,SIDING,square_feet,False,False,False
Seal & paint wood siding,2315.72,5853.34,SF,"{'total_quantity': 2315.72, 'total_rcv': 5853.34, 'occurrences_detail': ['Line 6: Qty=2315.72, RCV=$5853.34']}",2315.72,5623.2,"{'total_quantity': 2315.72, 'total_rcv': 5623.2, 'occurrences_detail': ['Line 401: Qty=2315.72, RCV=$5623.20']}",0.0,230.14000000000033,3.931772287275305,100,FLOOR COVERING,square_feet,False,False,False
"R&R Siding trim - 1"" x 4"" fiber cement",18.0,158.16,LF,"{'total_quantity': 18.0, 'total_rcv': 158.16, 'occurrences_detail': ['Line 7: Qty=18.0, RCV=$158.16']}",,,,,,,0,SIDING,linear_feet,False,False,False
Seal & paint trim - two coats,54.0,102.67,LF,"{'total_quantity': 54.0, 'total_rcv': 102.67, 'occurrences_detail': ['Line 8: Qty=54.0, RCV=$102.67']}",54.0,99.86,"{'total_quantity': 54.0, 'total_rcv': 99.86, 'occurrences_detail': ['Line 402: Qty=54.0, RCV=$99.86']}",0.0,2.8100000000000023,2.7369241258400723,100,PAINTING,linear_feet,False,False,False
R&R Jamb and trim for overhead door,30.0,399.68,LF,"{'total_quantity': 30.0, 'total_rcv': 399.68, 'occurrences_detail': ['Line 9: Qty=30.0, RCV=$399.68']}",,,,,,,0,DOORS,linear_feet,False,False,False
Seal & paint double garage door,1.0,166.94,EA,"{'total_quantity': 1.0, 'total_rcv': 166.94, 'occurrences_detail': ['Line 10: Qty=1.0, RCV=$166.94']}",1.0,162.9,"{'total_quantity': 1.0, 'total_rcv': 162.9, 'occurrences_detail': ['Line 403: Qty=1.0, RCV=$162.90']}",0.0,4.039999999999992,2.4200311489157733,100,PAINTING,each,False,False,False
Mask or cover per square foot,370.96,239.57,SF,"{'total_quantity': 370.96, 'total_rcv': 239.57, 'occurrences_detail': ['Line 11: Qty=370.96, RCV=$239.57']}",,,,,,,0,UNCATEGORIZED,square_feet,False,False,False
